{
	["bf001"] = {
		{
			["affix_ids"] = {
			},
			["diff_lv"] = 1,
			["event_days_offset"] = 0,
			["monster_lv"] = 21,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
			},
			["diff_lv"] = 2,
			["event_days_offset"] = 0,
			["monster_lv"] = 22,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
			},
			["diff_lv"] = 3,
			["event_days_offset"] = 0,
			["monster_lv"] = 23,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
			},
			["diff_lv"] = 4,
			["event_days_offset"] = 0,
			["monster_lv"] = 24,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
			},
			["diff_lv"] = 5,
			["event_days_offset"] = 0,
			["monster_lv"] = 25,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
			},
			["diff_lv"] = 6,
			["event_days_offset"] = 0,
			["monster_lv"] = 26,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
			},
			["diff_lv"] = 7,
			["event_days_offset"] = 0,
			["monster_lv"] = 27,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
			},
			["diff_lv"] = 8,
			["event_days_offset"] = 0,
			["monster_lv"] = 28,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
			},
			["diff_lv"] = 9,
			["event_days_offset"] = 0,
			["monster_lv"] = 29,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
			},
			["diff_lv"] = 10,
			["event_days_offset"] = 0,
			["monster_lv"] = 30,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
			},
			["diff_lv"] = 11,
			["event_days_offset"] = 0,
			["monster_lv"] = 31,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
			},
			["diff_lv"] = 12,
			["event_days_offset"] = 0,
			["monster_lv"] = 32,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
			},
			["diff_lv"] = 13,
			["event_days_offset"] = 0,
			["monster_lv"] = 33,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
			},
			["diff_lv"] = 14,
			["event_days_offset"] = 0,
			["monster_lv"] = 34,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
				[2007] = 15,
			},
			["diff_lv"] = 15,
			["event_days_offset"] = 0,
			["monster_lv"] = 35,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
				[2007] = 15,
			},
			["diff_lv"] = 16,
			["event_days_offset"] = 0,
			["monster_lv"] = 36,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
				[2007] = 15,
			},
			["diff_lv"] = 17,
			["event_days_offset"] = 0,
			["monster_lv"] = 37,
		},
		{
			["affix_ids"] = {
				[2001] = 2,
				[2002] = 4,
				[2003] = 6,
				[2004] = 8,
				[2005] = 10,
				[2006] = 13,
				[2007] = 15,
				[2008] = 18,
			},
			["diff_lv"] = 18,
			["event_days_offset"] = 0,
