{
	[131073] = 0,
	[131074] = 1,
	[131075] = 0,
	[131076] = 0,
	[131077] = -1,
	[131078] = 0,
	[131079] = 0,
	[196609] = 1,
	[196610] = 0,
	[196611] = 1,
	[196612] = -1,
	[196613] = -1,
	[196614] = -1,
	[196615] = 0,
	[262145] = -1,
	[262146] = 0,
	[262147] = -1,
	[262148] = 1,
	[262149] = -1,
	[262150] = -1,
	[262151] = -1,
	[327681] = -1,
	[327682] = -1,
	[327683] = -1,
	[327684] = -1,
	[327685] = -1,
	[327686] = -1,
	[327687] = -1,
	[393217] = -1,
	[393218] = 0,
	[393219] = -1,
	[393220] = -1,
	[393221] = -1,
	[393222] = 1,
	[393223] = -1,
	[458753] = 0,
	[458754] = 0,
	[458755] = 0,
	[458756] = -1,
	[458757] = -1,
	[458758] = -1,
	[458759] = 1,
	[65537] = 1,
	[65538] = 0,
	[65539] = 1,
	[65540] = -1,
	[65541] = -1,
	[65542] = -1,
	[65543] = 0,
}
