{
	["02_activity_spring"] = {
		{
			{
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 1,
					["node_type"] = 15,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 2,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 3,
					["node_type"] = 1,
					["round"] = 1,
				},
				{
					["bubble_id"] = 1,
					["bubble_npclist"] = {
						"scene_99999_2",
					},
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 4,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_chapter_level"] = {
						62,
						1,
					},
					["extra_quest_id"] = 5679,
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 5,
					["node_type"] = 11,
					["round"] = 1,
				},
				{
					["bubble_id"] = 4,
					["bubble_npclist"] = {
						"shop_1",
					},
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 6,
					["node_type"] = 8,
					["round"] = 1,
				},
				{
					["bubble_id"] = 5,
					["bubble_npclist"] = {
						"shop_2",
					},
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 7,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 8,
					["node_type"] = 1,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 9,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_chapter_level"] = {
						62,
						39,
					},
					["extra_reward_group"] = {
						["reward_activity_red_2024"] = {
							18,
						},
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 10,
					["node_type"] = 10,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 11,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 12,
					["node_type"] = 8,
					["round"] = 1,
				},
				{
					["bubble_id"] = 6,
					["bubble_npclist"] = {
						"shop_3",
					},
					["extra_chapter_level"] = {
						62,
						2,
					},
					["extra_quest_id"] = 5680,
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 13,
					["node_type"] = 11,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 14,
					["node_type"] = 6,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 15,
					["node_type"] = 1,
					["round"] = 1,
				},
				{
					["extra_reward_group"] = {
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 16,
					["node_type"] = 3,
					["round"] = 1,
				},
				{
					["extra_chapter_level"] = {
						62,
						17,
					},
					["extra_reward_group"] = {
						["reward_activity_red_2024"] = {
							14,
						},
					},
					["extra_reward_group_special"] = {
					},
					["map_id"] = 1,
					["node_index"] = 17,
					["node_type"] = 9,
					["round"] = 1,
				},
				{
					["bubble_id"] = 7,
					["bubble_npclist"] = {
						"shop_4",
					},
					["extra_reward_group"] = {
					},
