{
	{
		["ID"] = 1,
		["bgm"] = "event:/bgm/s192_bat_beach_oneshot",
		["cost_item"] = 16777357,
		["event_days_offset"] = 0,
		["idrcs"] = {
			"6_7",
			"1_1",
			"1_2",
			"1_3",
			"1_4",
			"1_5",
			"1_6",
			"1_7",
			"1_8",
			"1_9",
			"1_10",
			"1_11",
			"1_12",
			"1_13",
			"2_1",
			"2_2",
			"2_3",
			"2_4",
			"2_5",
			"2_6",
			"2_7",
			"2_8",
			"2_9",
			"2_10",
			"2_11",
			"2_12",
			"2_13",
			"3_1",
			"3_2",
			"3_3",
			"3_4",
			"3_5",
			"3_6",
			"3_7",
			"3_8",
			"3_9",
			"3_10",
			"3_11",
			"3_12",
			"3_13",
			"4_1",
			"4_2",
			"4_3",
			"4_4",
			"4_5",
			"4_6",
			"4_7",
			"4_8",
			"4_9",
			"4_10",
			"4_11",
			"4_12",
			"4_13",
			"5_1",
			"5_2",
			"5_3",
			"5_4",
			"5_5",
			"5_6",
			"5_7",
			"5_8",
			"5_9",
			"5_10",
			"5_11",
			"5_12",
			"5_13",
			"6_1",
			"6_2",
			"6_3",
			"6_4",
			"6_5",
			"6_6",
			"6_8",
			"6_9",
			"6_10",
			"6_11",
			"6_12",
			"6_13",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
			"0_0",
		},
		["main_quest_nodes"] = {
		},
		["max_col"] = 13,
		["max_row"] = 6,
		["nodes"] = {
			{
				["ID"] = 1,
				["chapter_id"] = 0,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 7,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 0,
				["exit_id"] = 0,
				["icon"] = "Icon_sand_start",
				["image"] = "",
				["in_factor"] = {
				},
